replikation,parameter,sand,estimat,bias,kv_fejl,konvergeret,n_iter,tid_sek
18,gamma,-0.5,-0.48454608412928213,0.015453915870717871,0.0002388235157392257,1,213,57.70848108397331
18,beta_sc_12,0.55,0.6187505104572225,0.06875051045722247,0.004726632688128656,1,213,57.70848108397331
18,beta_sc_21,0.5,0.45326058706107253,-0.04673941293892747,0.0021845727218755807,1,213,57.70848108397331
18,beta_dep_1,0.25,0.2839893916517928,0.03398939165179282,0.0011552787448589636,1,213,57.70848108397331
18,beta_dep_2,0.25,0.19576437212036746,-0.05423562787963254,0.0029415033314979747,1,213,57.70848108397331
19,alpha_2,0.3,0.2873771308901367,-0.012622869109863266,0.00015933682456474024,1,273,75.48271429201122
19,gamma,-0.5,-0.499887523534992,0.00011247646500800457,1.2650955180696876e-08,1,273,75.48271429201122
19,beta_sc_12,0.55,0.6562077550799339,0.10620775507993385,0.011280087239119215,1,273,75.48271429201122
19,beta_sc_21,0.5,0.41925741282764584,-0.08074258717235416,0.006519365383285211,1,273,75.48271429201122
19,beta_dep_1,0.25,0.18219546527062536,-0.06780453472937464,0.0045974549298669724,1,273,75.48271429201122
19,beta_dep_2,0.25,0.36004581705583416,0.11004581705583416,0.012110081851486121,1,273,75.48271429201122
20,alpha_2,0.3,0.27478277120799266,-0.02521722879200733,0.0006359086279484434,1,287,76.97837508301018
20,gamma,-0.5,-0.504172626599465,-0.004172626599465046,1.741081273856323e-05,1,287,76.97837508301018
20,beta_sc_12,0.55,0.5388541482144016,-0.01114585178559846,0.00012423001202652837,1,287,76.97837508301018
20,beta_sc_21,0.5,0.5854426210594273,0.08544262105942735,0.007300441493504898,1,287,76.97837508301018
20,beta_dep_1,0.25,0.250781606328574,0.0007816063285739916,6.109084528669145e-07,1,287,76.97837508301018
20,beta_dep_2,0.25,0.26401030528868086,0.014010305288680858,0.00019628865428203881,1,287,76.97837508301018
