replication,converged,em_iter,time_sec,parameter,true,estimate,bias,sq_error
6,0,40,2509.2069745420013,beta_dep_2_k1,0.25,0.2661621290336987,0.01616212903369868,0.0002612144149019258
6,0,40,2509.2069745420013,beta_dep_2_k2,0.4,0.3496191634939264,-0.05038083650607361,0.0025382286870517193
7,0,40,2515.6695545419934,pi,0.4,0.4106662163927682,0.010666216392768157,0.00011376817213735617
7,0,40,2515.6695545419934,alpha_2_k1,0.3,0.3162109934336739,0.016210993433673937,0.0002627963081066195
7,0,40,2515.6695545419934,alpha_2_k2,0.1,0.10704850171525493,0.007048501715254923,4.9681376429951596e-05
7,0,40,2515.6695545419934,gamma_k1,0.5,0.4788991379163694,-0.0211008620836306,0.0004452463806723995
7,0,40,2515.6695545419934,gamma_k2,0.8,0.7810236725002191,-0.018976327499780954,0.0003601010053789429
7,0,40,2515.6695545419934,beta_sc_12_k1,0.55,0.6351740389292531,0.08517403892925302,0.0072546169075219085
7,0,40,2515.6695545419934,beta_sc_12_k2,0.2,0.21963615863440517,0.019636158634405154,0.0003855787259155241
7,0,40,2515.6695545419934,beta_sc_21_k1,0.5,0.5834920742328378,0.08349207423283778,0.006970926459701694
7,0,40,2515.6695545419934,beta_sc_21_k2,0.15,0.1108462734477163,-0.03915372655228369,0.001533014302931005
7,0,40,2515.6695545419934,beta_dep_1_k1,0.25,0.25919080413548207,0.009190804135482067,8.447088065679426e-05
7,0,40,2515.6695545419934,beta_dep_1_k2,0.4,0.37411154124351664,-0.02588845875648338,0.0006702122967861409
7,0,40,2515.6695545419934,beta_dep_2_k1,0.25,0.25909615297503585,0.009096152975035854,8.273999894525362e-05
7,0,40,2515.6695545419934,beta_dep_2_k2,0.4,0.3661233106747298,-0.033876689325270215,0.001147630079640877
8,0,40,2585.047696250025,pi,0.4,0.45694321154906953,0.056943211549069506,0.003242529341522083
8,0,40,2585.047696250025,alpha_2_k1,0.3,0.19609363404002816,-0.10390636595997182,0.010796532887007592
8,0,40,2585.047696250025,alpha_2_k2,0.1,0.12660677634868137,0.02660677634868136,0.0007079205476687498
8,0,40,2585.047696250025,gamma_k1,0.5,0.5119224623063365,0.011922462306336534,0.00014214510744601548
8,0,40,2585.047696250025,gamma_k2,0.8,0.7822947675802918,-0.017705232419708228,0.0003134752550358873
8,0,40,2585.047696250025,beta_sc_12_k1,0.55,0.3745722904999639,-0.17542770950003617,0.030774881260429078
8,0,40,2585.047696250025,beta_sc_12_k2,0.2,0.21242222201884858,0.012422222018848572,0.0001543115998855663
